,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
0,5.107620123738204e-05,4.732355489478483e-05-5.482884757997925e-05,0.0,0.0,0.0,0.0
1,5.917664593953366e-05,5.482884757997925e-05-6.352444429908808e-05,0.0,0.0,0.0,0.0
2,6.856178297946612e-05,6.352444429908808e-05-7.359912165984414e-05,0.0,0.0,0.0,0.0
3,7.943535850488348e-05,7.359912165984414e-05-8.527159534992283e-05,0.0,0.0,0.0,0.0
4,9.203343184189315e-05,8.527159534992283e-05-9.879526833386349e-05,0.0,0.0,0.0,0.0
5,0.00010662950021275049,9.879526833386349e-05-0.0001144637320916375,0.0,0.0,0.0,0.0
6,0.0001235404362096759,0.0001144637320916375-0.00013261714032771431,0.0,0.0,0.0,0.0
7,0.00014313336692402492,0.00013261714032771431-0.00015364959352033553,0.0,0.0,0.0,0.0
8,0.0001658336440729109,0.00015364959352033553-0.0001780176946254863,0.0,0.0,0.0,0.0
9,0.00019213407815033305,0.0001780176946254863-0.00020625046167517983,0.0,0.0,0.0,0.0
10,0.00022260563707113566,0.00020625046167517983-0.00023896081246709146,0.0,0.0,0.0,0.0
11,0.00025790984156945736,0.00023896081246709146-0.00027685887067182326,0.0,0.0,0.0,0.0
12,0.00029881312644893323,0.00027685887067182326-0.0003207673822260432,0.0,0.0,0.0,0.0
13,0.00034620347945946774,0.0003207673822260432-0.0003716395766928923,0.0,0.0,0.0,0.0
14,0.00040110971902141475,0.0003716395766928923-0.00043057986134993723,0.0,0.0,0.0,0.0
15,0.000464723829305923,0.00043057986134993723-0.0004988677972619088,0.0,0.0,0.0,0.0
16,0.0005384268375537178,0.0004988677972619088-0.0005779858778455268,0.0,0.0,0.0,0.0
17,0.0006238187954146351,0.0005779858778455268-0.0006696517129837436,0.0,0.0,0.0,0.0
18,0.0007227535151862518,0.0006696517129837436-0.0007758553173887599,0.0,0.0,0.0,0.0
19,0.0008373788150561848,0.0007758553173887599-0.0008989023127236096,0.0,0.0,0.0,0.0
20,0.0009701831470500724,0.0008989023127236096-0.0010414639813765352,0.0,0.0,0.0,0.0
21,0.001124049619952265,0.0010414639813765352-0.0012066352585279948,0.0,0.0,0.0,0.0
22,0.0013023185900070278,0.0012066352585279948-0.001398001921486061,0.0,0.0,0.0,0.0
23,0.0015088601782098532,0.001398001921486061-0.0016197184349336455,0.0,0.0,0.0,0.0
24,0.0017481582884992714,0.0016197184349336455-0.0018765981420648971,0.0,0.0,0.0,0.0
25,0.0020254079508377513,0.0018765981420648971-0.0021742177596106057,0.0,0.0,0.0,0.0
26,0.0023466281024462797,0.0021742177596106057-0.002519038445281954,0.0,0.0,0.0,0.0
27,0.0027187922556110005,0.002519038445281954-0.0029185460659400474,0.0,0.0,0.0,0.0
28,0.0031499798887879237,0.0029185460659400474-0.0033814137116358,0.0,0.0,0.0,0.0
