,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
33,0.009541597635317076,0.008867547460619345-0.010215647810014805,0.0,0.0,0.0,0.0
34,0.010992171332620239,0.010215647810014805-0.011768694855225675,0.0,0.0,0.0,0.0
35,0.012663270368732438,0.011768694855225675-0.0135578458822392,0.0,0.0,0.0,0.0
36,0.014588420392951775,0.0135578458822392-0.015618994903664349,0.0,0.0,0.0,0.0
37,0.01680624383468756,0.015618994903664349-0.017993492765710772,0.0,0.0,0.0,0.0
38,0.019361234748035916,0.017993492765710772-0.020728976730361056,0.0,0.0,0.0,0.0
39,0.02230465145310217,0.020728976730361056-0.02388032617584328,0.0,0.0,0.0,0.0
40,0.025695544882272603,0.02388032617584328-0.027510763588701925,0.0,0.0,0.0,0.0
41,0.029601943262155553,0.027510763588701925-0.03169312293560918,0.0,0.0,0.0,0.0
42,0.03410221689832388,0.03169312293560918-0.036511310861038586,0.05555555555555555,0.0,0.05555555555555555,0.0
43,0.03928665044321966,0.036511310861038586-0.042061990025400744,0.046875,0.0,0.046875,0.0
44,0.04525925419011665,0.042061990025400744-0.048456518354832556,0.015384615384615385,0.0,0.015384615384615385,0.0
45,0.052139850731385454,0.048456518354832556-0.05582318310793835,0.12941176470588237,0.0,0.12941176470588237,0.0
46,0.06006647884367512,0.05582318310793835-0.0643097745794119,0.16279069767441862,0.0,0.16279069767441862,0.0
47,0.06919816282684249,0.0643097745794119-0.07408655107427307,0.22988505747126436,0.0,0.22988505747126436,0.0
48,0.07971810285520689,0.07408655107427307-0.08534965463614072,0.44036697247706424,0.0,0.44036697247706424,0.0
49,0.09183735034607311,0.08534965463614072-0.0983250460560055,0.5864661654135338,0.0,0.5864661654135338,0.0
50,0.10579904208089781,0.0983250460560055-0.11327303810579012,0.6328125,0.0,0.6328125,0.0
51,0.12188327802419235,0.11327303810579012-0.1304935179425946,0.837696335078534,0.0,0.837696335078534,0.0
52,0.14041274069914061,0.1304935179425946-0.15033196345568664,0.8518518518518519,0.0,0.8518518518518519,0.0
53,0.16175916885604902,0.15033196345568664-0.1731863742564114,0.8865546218487395,0.0,0.8865546218487395,0.0
54,0.18635081530859915,0.1731863742564114-0.1995152563607869,0.9477611940298507,0.0,0.9477611940298507,0.0
55,0.21468103855728377,0.1995152563607869-0.22984682075378066,0.9865319865319865,0.0,0.9865319865319865,0.0
56,0.24731820056548598,0.22984682075378066-0.2647895803771913,0.9943342776203966,0.0,0.9943342776203966,0.0
57,0.2849170692577436,0.2647895803771913-0.30504455813829595,0.9949748743718593,0.0,0.9949748743718593,0.0
58,0.3282319544975312,0.30504455813829595-0.35141935085676634,1.0,0.0,1.0,0.0
59,0.3781318410790204,0.35141935085676634-0.40484433130127445,1.0,0.0,1.0,0.0
60,0.43561782233144825,0.40484433130127445-0.46639131336162204,1.0,0.0,1.0,0.0
61,0.5018431840896926,0.46639131336162204-0.5372950548177632,1.0,0.0,1.0,0.0
62,0.5781365419564004,0.5372950548177632-0.6189780290950375,1.0,0.0038071065989847717,1.0,0.0038071065989847717
63,0.6660284960362575,0.6189780290950375-0.7130789629774775,1.0,0.012565445026178011,1.0,0.012565445026178011
64,0.7672823378906442,0.7130789629774775-0.8214857128038108,1.0,0.033849129593810444,1.0,0.033849129593810444
65,0.8839294257567074,0.8214857128038108-0.946373138709604,1.0,0.08976510067114093,1.0,0.08976510067114093
66,1.0183099377297802,0.946373138709604-1.0902467367499564,1.0,0.22339675828047922,1.0,0.22339675828047922
67,1.1731198205009636,1.0902467367499564-1.2559929042519709,1.0,0.4108940201302546,1.0,0.4108940201302546
68,1.3514648755371428,1.2559929042519709-1.446936846822315,1.0,0.6169419286094833,1.0,0.6169419286094833
69,1.5569230677823391,1.446936846822315-1.666909288742363,1.0,0.8125,1.0,0.8125
70,1.7936163069198088,1.666909288742363-1.9203233250972547,1.0,0.9318268862504787,1.0,0.9318268862504787
71,2.0662931412731833,1.9203233250972547-2.2122629574491124,1.0,0.9869907565902089,1.0,0.9869907565902089
72,2.3804240233546725,2.2122629574491124-2.5485850892602326,1.0,0.9975728155339806,1.0,0.9975728155339806
73,2.7423110582812016,2.5485850892602326-2.9360370273021705,1.0,0.9997425334706488,1.0,0.9997425334706488
74,3.159214436835179,2.9360370273021705-3.3823918463681877,1.0,1.0,1.0,1.0
75,3.6394980896745435,3.3823918463681877-3.8966043329808993,1.0,1.0,1.0,1.0
76,4.192797484812112,3.8966043329808993-4.488990636643324,1.0,1.0,1.0,1.0
77,4.830212934723319,4.488990636643324-5.171435232803313,1.0,1.0,1.0,1.0
78,5.564532291216532,5.171435232803313-5.95762934962975,1.0,1.0,1.0,1.0
79,6.410487495778514,5.95762934962975-6.863345641927278,1.0,1.0,1.0,1.0
80,7.385050132317335,6.863345641927278-7.906754622707392,1.0,1.0,1.0,1.0
81,8.507771911692476,7.906754622707392-9.10878920067756,1.0,1.0,1.0,1.0
82,9.801176918845202,9.10878920067756-10.493564637012845,1.0,1.0,1.0,1.0
83,11.291213491805262,10.493564637012845-12.088862346597681,1.0,1.0,1.0,1.0
84,13.007774798186858,12.088862346597681-13.926687249776036,1.0,1.0,1.0,1.0
85,14.985298552998373,13.926687249776036-16.04390985622071,1.0,1.0,1.0,1.0
86,17.263457909326355,16.04390985622071-18.483005962432,1.0,1.0,1.0,1.0
87,19.887957382567542,18.483005962432-21.29290880270308,1.0,1.0,1.0,1.0
88,22.911449776069652,21.29290880270308-24.52999074943622,1.0,1.0,1.0,1.0
89,26.39459250357629,24.52999074943622-28.259194257716366,1.0,1.0,1.0,1.0
90,30.40726450045521,28.259194257716366-32.55533474319405,1.0,1.0,1.0,1.0
91,35.02996813742686,32.55533474319405-37.50460153165968,1.0,1.0,1.0,1.0
92,40.35544426203721,37.50460153165968-43.20628699241474,1.0,1.0,1.0,1.0
93,46.49053276889501,43.20628699241474-49.77477854537528,1.0,1.0,1.0,1.0
94,53.558316025501455,49.77477854537528-57.34185350562763,1.0,1.0,1.0,1.0
95,61.70058815515846,57.34185350562763-66.05932280468927,1.0,1.0,1.0,1.0
96,71.08069971579798,66.05932280468927-76.10207662690667,1.0,1.0,1.0,1.0
97,81.88683484478304,76.10207662690667-87.67159306265941,1.0,1.0,1.0,1.0
98,94.33578661587738,87.67159306265941-100.99998016909535,1.0,1.0,1.0,1.0
