https://arxiv.org/pdf/2408.02877 Fig1  Combined acceptance
0.    0.
0.5028086355061832    0.0030769230769231992
0.630874030601551    0.0030769230769231992
0.750806958708866    0.00423076923076926
0.8598407042548727    0.005384615384615432
0.9580591071054286    0.008846153846153948
1.0344791448333683    0.012307692307692353
1.1326975476839236    0.01576923076923087
1.2200586879060993    0.020384615384615445
1.351142318172291    0.028461538461538538
1.4712848459442465    0.0353846153846154
1.5778033955145672    0.04230769230769238
1.678914273737162    0.05038461538461542
1.7991406413749738    0.05961538461538474
1.9357577027876751    0.07000000000000012
2.0423181722909245    0.07807692307692315
2.132487948019283    0.08500000000000002
2.214441416893733    0.09076923076923094
2.293670090127856    0.09653846153846163
2.375623559002306    0.10230769230769238
2.4548103123035    0.10692307692307701
2.553112555019912    0.11269230769230781
2.6350241039614337    0.11730769230769239
2.705994550408719    0.12076923076923085
2.771473485642423    0.12307692307692314
