,E_center [keV],E [keV],trigger eff,eff S1,eff S2,eff S1S2
27,0.002225538218320387,0.00205892448300794-0.0023921519536328336,0.0,0.0,0.0,0.0
28,0.002585731356723645,0.0023921519536328336-0.0027793107598144563,0.0,0.0,0.0,0.0
29,0.003004220100156192,0.0027793107598144563-0.003229129440497928,0.0,0.0,0.0,0.0
30,0.0034904393245315333,0.003229129440497928-0.003751749208565139,0.0,0.0,0.0,0.0
31,0.004055350897093967,0.003751749208565139-0.004358952585622795,0.0,0.0,0.0,0.0
32,0.004711690812951778,0.004358952585622795-0.005064429040280761,0.0,0.0,0.0,0.0
33,0.005474256329523191,0.005064429040280761-0.005884083618765621,0.0,0.0,0.0,0.0
34,0.006360239572373536,0.005884083618765621-0.00683639552598145,0.0,0.0,0.0,0.0
35,0.007389615133624863,0.00683639552598145-0.007942834741268277,0.0,0.0,0.0,0.0
36,0.008585590401387882,0.007942834741268277-0.009228346061507485,0.0,0.0,0.0,0.0
37,0.009975128772943993,0.009228346061507485-0.010721911484380503,0.0,0.0,0.0,0.0
38,0.011589557547577657,0.010721911484380503-0.01245720361077481,0.0,0.0,0.0,0.0
39,0.013465274204071499,0.01245720361077481-0.01447334479736819,0.0,0.0,0.0,0.0
40,0.015644566985970037,0.01447334479736819-0.016815789174571882,0.0,0.0,0.0,0.0
41,0.018176568294799213,0.016815789174571882-0.019537347415026544,0.0,0.0,0.0,0.0
42,0.021118362385599422,0.019537347415026544-0.0226993773561723,0.0,0.0,0.0,0.0
43,0.024536272337892746,0.0226993773561723-0.026373167319613193,0.0,0.0,0.0,0.0
44,0.028507355316990057,0.026373167319613193-0.03064154331436692,0.0,0.0,0.0,0.0
45,0.03312113983647266,0.03064154331436692-0.035600736358578404,0.0,0.0,0.0,0.0
46,0.038481644188627054,0.035600736358578404-0.0413625520186757,0.0,0.0,0.0,0.0
47,0.04470972154857457,0.0413625520186757-0.048056891078473433,0.0,0.0,0.0,0.0
48,0.051945784622733165,0.048056891078473433-0.05583467816699289,0.0,0.0,0.0,0.0
49,0.06035297126911791,0.05583467816699289-0.06487126437124292,0.0,0.0,0.0,0.0
50,0.07012082245874682,0.06487126437124292-0.07537038054625073,0.0,0.0,0.0,0.0
51,0.08146955549820695,0.07537038054625073-0.08756873045016317,0.0,0.0,0.0,0.0
52,0.09465502885366525,0.08756873045016317-0.10174132725716732,0.0,0.0,0.0,0.0
53,0.1099745105088415,0.10174132725716732-0.11820769376051565,0.0,0.0,0.0,0.0
54,0.12777337990522383,0.11820769376051565-0.137339066049932,0.0,0.0,0.0,0.0
55,0.1484529145605254,0.137339066049932-0.1595667630711188,0.0,0.0,0.0,0.0
56,0.17247933691557332,0.1595667630711188-0.1853919107600278,0.0,0.0,0.0,0.0
57,0.20039432537181287,0.1853919107600278-0.21539673998359793,0.0,0.0,0.0,0.0
